name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	94	-66	22	214	23
2	-77	-92	1486	1660	14
3	59	-90	1880	1985	4
4	69	48	1193	1228	16
5	-93	0	690	770	9
6	5	45	659	761	24
7	-81	9	223	381	22
8	19	50	41	132	7
9	14	-76	992	1060	12
10	-94	-81	723	916	7
11	-68	18	1614	1830	18
12	65	-49	1240	1341	15
13	31	53	74	125	24
14	29	-57	1027	1163	4
15	-84	78	1027	1189	12
16	44	38	830	1006	10
17	24	50	541	731	15
18	-67	40	918	1084	17
19	-63	48	958	991	11
20	43	0	754	882	23
21	24	-99	386	452	10
22	-40	-76	1199	1381	11
23	99	82	1660	1832	14
24	39	-91	1203	1291	16
25	54	-20	1663	1814	10
26	-41	94	1760	1887	10
27	-46	-46	540	740	18
28	-22	-62	83	151	11
29	14	45	1446	1588	22
