name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-56	60	84	256	16
2	58	-30	1712	1750	22
3	82	66	1724	1908	6
4	82	64	1246	1275	24
5	47	-88	1378	1583	20
6	-6	95	1104	1211	9
7	21	58	991	1034	6
8	-94	-48	787	824	3
9	28	-39	749	962	0
10	13	-76	1921	2144	13
11	-94	-20	180	330	21
12	33	-4	1067	1218	19
13	56	-97	1217	1327	14
14	39	57	1998	2163	23
15	25	68	1290	1344	23
16	-6	51	1130	1223	12
17	15	-46	1516	1668	22
18	69	-97	740	862	9
19	-24	66	0	131	6
20	-4	-46	1253	1409	6
21	6	-53	1112	1162	23
22	64	58	1418	1496	24
23	43	-13	556	715	14
24	39	11	531	642	23
25	73	67	1122	1279	19
26	24	81	1595	1760	5
27	29	88	647	850	1
28	-83	-74	1740	1789	12
29	-90	-96	1118	1298	23
30	-53	-94	1745	1872	15
31	78	61	449	618	8
32	62	-91	976	1016	4
33	18	-41	359	581	19
34	-47	48	281	355	0
