name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	62	-38	448	561	9
2	-92	85	1708	1892	16
3	51	42	235	391	11
4	-62	44	454	528	8
5	-95	-4	12	195	23
6	-48	11	1074	1117	2
7	77	-74	403	575	16
8	68	-12	1546	1694	14
9	28	-47	449	517	20
10	86	-79	1214	1251	6
11	6	-56	1664	1780	20
12	49	18	139	165	22
13	-95	-74	96	253	6
14	-26	-85	272	473	22
15	-13	38	1784	1986	14
16	94	-25	241	464	5
17	-23	-100	1016	1063	10
18	-51	62	230	302	18
19	-10	50	982	1057	20
20	-95	-89	1018	1145	21
21	80	58	880	1083	12
22	94	-26	1482	1580	14
23	25	36	1374	1587	12
24	-89	-66	995	1033	20
25	77	94	1434	1573	14
26	-74	-62	1208	1380	17
27	43	92	1713	1921	18
28	66	-26	856	926	0
29	-31	20	1930	1984	16
30	8	99	1770	1841	15
31	-79	37	1832	1995	0
32	-48	87	1919	1988	14
33	-96	-68	1348	1479	9
34	-75	63	769	940	2
35	6	-77	291	432	6
36	-9	90	1804	1868	18
37	-68	4	1258	1310	2
38	63	-37	1164	1199	18
39	88	-4	1020	1050	20
40	-55	-86	760	925	24
41	-32	28	1708	1890	21
42	9	-18	27	115	16
43	-7	72	644	831	15
44	61	52	1287	1506	10
