name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-22	42	1805	1971	6
2	-81	72	1307	1379	19
3	-59	-96	1309	1419	20
4	-71	-86	222	304	19
5	-91	-51	846	904	23
6	3	-70	1727	1852	12
7	-25	53	1755	1815	11
8	63	64	1190	1392	13
9	-12	-10	117	302	23
10	-42	53	1683	1807	6
11	52	-19	275	322	2
12	-6	-83	624	742	3
13	-32	-36	1218	1435	19
14	-66	99	1639	1671	11
15	-94	58	792	852	4
16	-72	-77	441	587	16
17	51	6	1269	1349	24
18	93	-15	1507	1727	21
19	-75	95	1191	1396	17
20	4	-89	95	167	0
21	-67	-17	520	572	0
22	-65	-70	74	212	12
23	83	-32	733	915	2
24	2	96	1624	1748	11
25	-93	20	127	159	2
26	-73	-3	465	492	6
27	29	30	706	839	16
28	-83	-54	1799	1862	20
29	91	67	22	193	0
30	94	-40	307	350	1
31	-51	47	851	1027	16
32	-49	-65	1471	1521	3
33	-13	95	205	258	11
34	-84	35	347	433	5
35	-3	92	1005	1069	1
36	-26	32	1204	1342	14
37	-100	76	1466	1652	8
38	88	10	114	216	12
39	12	-42	211	411	11
