name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-73	52	1272	1344	17
2	37	6	1877	2039	1
3	-19	-6	1958	2176	13
4	-29	-43	1638	1693	18
5	-11	-19	854	1001	18
6	63	81	261	373	23
7	-98	25	227	443	20
8	51	-9	1076	1102	1
9	86	-68	1386	1565	10
10	35	-91	1378	1585	14
11	-28	72	1805	1934	24
12	98	-14	839	1044	4
13	45	-92	1391	1460	19
14	-26	-99	1383	1514	22
15	-76	-56	1527	1585	23
16	-59	9	766	854	18
17	-20	-99	649	681	23
18	-9	9	8	55	13
19	-94	-2	913	1116	21
20	17	-60	1944	2000	6
21	-42	70	1745	1810	14
22	-75	24	1522	1620	6
23	-68	-56	1181	1233	18
24	-76	-82	414	545	22
25	-52	-81	1976	2115	16
26	-89	-64	1794	1830	4
27	-79	18	1317	1541	11
28	-25	-27	1941	2019	19
29	6	21	694	819	16
30	45	-60	412	494	7
31	15	4	325	365	21
32	27	97	525	726	5
33	77	32	98	298	0
34	-86	35	570	682	3
35	37	80	1173	1267	0
36	94	-52	1861	2034	20
37	-61	80	1450	1653	22
38	96	57	821	867	11
39	-20	73	906	1018	11
40	-72	-62	1980	2137	10
41	-54	26	101	248	11
42	-37	-90	323	526	15
43	-32	9	651	776	12
44	-76	-15	1420	1499	18
