name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-68	-93	489	598	19
2	-64	73	925	1123	20
3	-12	35	1902	1931	3
4	85	-8	671	731	24
5	-7	-94	130	338	15
6	-99	45	378	457	2
7	62	-74	656	795	20
8	96	-3	1331	1427	9
9	7	-92	1263	1417	23
10	-79	-4	305	434	16
11	-29	53	559	681	7
12	88	-55	815	927	23
13	35	4	1442	1531	21
14	0	51	946	986	22
15	-27	98	469	527	1
16	78	-60	816	877	4
17	-45	-79	1740	1884	19
18	-96	53	375	473	21
19	38	51	1186	1375	18
20	13	97	296	326	15
21	57	63	8	37	21
22	-61	79	784	985	9
23	-3	86	66	280	21
24	-33	-94	928	1053	24
25	-40	80	1805	1847	12
26	41	1	1293	1452	12
27	63	66	931	1092	12
28	-42	-67	1890	2098	19
29	-33	24	1628	1673	2
