name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	65	-48	384	511	7
2	-76	-60	1237	1399	0
3	76	-82	388	601	7
4	-50	50	447	589	19
5	5	-5	964	1096	11
6	59	64	1708	1817	8
7	-35	-63	679	780	15
8	30	90	665	862	7
9	14	8	13	237	17
10	68	83	1480	1529	9
11	-17	27	829	863	3
12	67	-87	1051	1153	8
13	7	88	1123	1315	10
14	-98	57	676	824	0
15	92	79	936	1008	5
16	34	29	569	750	20
17	25	35	545	732	16
18	-100	45	1286	1329	20
19	29	-41	1263	1464	23
20	-28	37	1203	1336	24
21	-57	-53	965	1089	22
22	-36	77	337	538	20
23	-84	59	1780	1854	3
24	90	54	1392	1475	19
25	40	26	1144	1310	10
26	-95	-31	921	1066	9
27	90	-21	1276	1422	24
28	-34	10	702	797	8
29	-16	63	1173	1379	9
