name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	58	-82	645	720	9
2	39	87	228	259	22
3	67	-62	1126	1191	5
4	4	-28	996	1149	4
5	-28	88	1281	1464	7
6	-21	-35	1355	1561	22
7	32	-18	1439	1498	9
8	-62	99	247	353	3
9	17	-36	1485	1635	7
10	92	-31	1523	1613	17
11	-27	99	1560	1751	8
12	-33	34	1433	1521	10
13	47	1	483	661	7
14	-37	-49	1033	1133	20
15	50	-69	226	331	18
16	-59	-40	1981	2022	11
17	-3	-37	396	567	7
18	-64	48	1100	1240	9
19	25	-7	123	225	7
20	-30	-27	248	324	22
21	-39	-22	980	1093	4
22	-70	93	210	240	13
23	93	83	1061	1088	11
24	-69	55	1365	1510	0
