name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-12	66	171	365	4
2	-46	72	440	574	22
3	-22	11	1737	1913	24
4	0	92	1240	1354	6
5	64	22	349	392	8
6	-1	73	1230	1304	13
7	83	-77	191	295	21
8	87	-47	630	752	14
9	-77	5	843	988	19
10	-4	-60	55	167	7
11	61	-71	1859	1903	5
12	-100	-23	893	1042	7
13	-77	-100	923	1053	14
14	87	60	391	523	12
15	74	13	1648	1724	12
16	58	51	505	599	19
17	19	-62	1970	2020	5
18	-43	25	706	826	7
19	57	27	320	429	3
20	45	-20	1756	1911	2
21	-57	59	956	1118	7
22	-53	77	1806	1927	10
23	27	38	1650	1778	13
24	21	38	1744	1809	0
25	83	-23	1046	1095	4
26	-26	22	259	298	11
27	-85	-27	263	477	23
28	-37	25	820	1030	17
29	51	-54	972	1068	19
30	12	12	137	250	20
31	61	-31	253	320	13
32	-89	96	1447	1483	14
33	41	49	1201	1286	16
34	50	27	549	758	10
35	-75	39	39	110	3
36	-90	-27	366	398	23
37	35	99	455	614	13
38	70	80	1318	1352	0
39	37	-58	1852	2072	18
40	42	-9	75	136	6
41	24	77	119	308	15
42	48	-6	96	217	21
43	-90	-90	1166	1370	19
44	-5	58	1497	1603	14
45	83	21	718	844	9
46	-65	97	1549	1682	21
47	51	13	1939	2025	8
48	-9	-42	1329	1543	20
49	-99	10	1243	1464	12
