name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-8	77	698	820	11
2	-43	-96	490	573	13
3	93	58	1464	1576	14
4	35	65	975	1115	8
5	17	-27	1229	1331	12
6	47	-98	1565	1740	11
7	36	-13	309	403	16
8	-46	52	195	410	22
9	95	35	445	652	12
10	20	88	1094	1199	8
11	-83	85	1391	1425	12
12	-27	79	354	500	10
13	26	-48	628	833	19
14	-18	-71	368	491	5
15	-45	-30	1632	1721	10
16	-25	-38	861	996	16
17	-79	33	1589	1675	23
18	99	7	986	1143	9
19	55	65	29	124	9
20	-95	-67	1454	1631	14
21	42	23	474	586	4
22	58	91	1342	1516	4
23	-30	52	1683	1826	1
24	-51	-44	1869	2038	4
25	-83	-53	1248	1419	20
26	86	31	79	287	18
27	62	28	356	475	5
28	57	4	285	386	5
29	77	-28	960	1160	15
30	65	97	207	312	12
31	-85	76	1780	1961	7
32	18	-34	1073	1150	17
33	-100	31	229	263	8
34	62	20	161	350	22
35	-46	46	1386	1487	15
36	3	52	1801	1903	19
37	83	71	688	721	6
38	-27	94	1462	1596	4
39	-50	18	1917	2007	6
