name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-16	29	1630	1720	13
2	18	-3	1568	1667	4
3	-95	-34	1427	1613	24
4	-64	99	973	1144	2
5	-10	-90	1076	1211	23
6	18	-44	955	1000	10
7	-71	-27	1220	1268	17
8	-79	82	36	121	23
9	-91	45	515	546	6
10	89	-27	1491	1638	3
11	-20	-93	303	350	16
12	-91	-19	354	504	6
13	-75	74	353	382	18
14	89	-84	282	454	24
15	63	-47	380	466	13
16	-56	-52	957	1153	20
17	-69	21	62	257	9
18	-73	-14	1459	1563	4
19	-86	52	1740	1948	14
20	56	-16	1455	1583	10
21	-35	-29	740	904	5
22	-88	73	1859	1937	17
23	21	-89	967	1085	21
24	27	46	942	1023	22
25	-11	63	64	192	16
26	1	-84	64	116	9
27	26	94	416	532	19
28	-11	87	874	1062	19
29	-99	65	1848	1946	8
