name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	35	-30	1921	2064	15
2	-95	36	1966	2124	19
3	38	45	516	740	19
4	-3	14	1531	1569	12
5	-55	-62	238	427	22
6	94	6	1758	1802	22
7	-96	-52	865	998	16
8	29	-86	1212	1298	10
9	61	51	1270	1301	19
10	67	38	909	964	14
11	52	19	1900	1956	1
12	94	67	701	828	8
13	-81	53	429	565	4
14	68	46	501	537	0
15	-12	-77	1073	1274	2
16	-72	75	69	161	7
17	-33	-73	1011	1131	7
18	-58	-45	856	937	4
19	60	-24	1750	1869	18
20	-43	-78	910	1042	21
21	60	-7	1038	1160	24
22	25	67	1529	1711	8
23	-62	39	1005	1181	3
24	38	53	1030	1197	0
