name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-12	-96	1764	1883	16
2	8	-70	1516	1648	22
3	46	-36	244	457	2
4	-6	61	1742	1797	1
5	43	3	171	273	5
6	49	59	1928	1957	21
7	5	-96	819	911	24
8	20	47	1956	2025	14
9	-38	50	590	808	7
10	-70	20	926	1047	17
11	49	44	849	899	21
12	-69	-65	1714	1826	17
13	-59	-37	1783	1927	9
14	-22	-69	1758	1807	21
15	87	63	386	515	11
16	39	6	193	373	8
17	67	-24	955	1092	23
18	-33	-8	1437	1650	10
19	61	-3	299	521	5
20	93	75	1530	1570	10
21	-73	46	1569	1777	22
22	50	-54	1539	1621	15
23	-59	78	1227	1410	13
24	-90	-9	1640	1668	21
25	10	-69	928	1126	1
26	-89	66	922	956	22
27	60	-34	1872	2044	22
28	47	-72	1254	1295	18
29	-78	-56	525	734	15
30	-28	-96	1654	1734	24
31	-61	90	1993	2121	24
32	-3	47	558	632	19
33	7	-77	1280	1440	24
34	98	-81	111	279	4
35	38	58	957	1023	17
36	52	76	1293	1328	24
37	-70	63	1648	1700	16
38	-75	-53	112	278	6
39	-12	-37	267	451	24
40	-7	11	1864	1998	16
41	9	78	228	409	8
42	39	-12	1368	1394	10
43	-91	-72	1495	1694	9
44	-34	29	1802	1872	5
