name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	27	-6	237	358	12
2	-32	14	1111	1317	22
3	80	41	995	1183	20
4	6	-78	416	621	6
5	31	-36	644	825	21
6	-48	75	848	1061	1
7	-38	-94	1215	1240	0
8	89	84	1925	2004	5
9	63	95	781	823	2
10	-34	39	1397	1587	15
11	-91	54	1301	1424	5
12	-17	69	994	1167	8
13	-46	41	1704	1782	22
14	-45	-11	1098	1229	24
15	-6	-85	1977	2154	19
16	-97	32	1144	1310	17
17	89	-3	1969	2042	0
18	13	-85	1231	1357	19
19	74	-46	665	764	14
20	-91	-7	743	845	3
21	-2	18	945	982	21
22	-81	-30	1867	2002	14
23	80	-95	527	738	11
24	1	86	1943	2131	20
