name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	81	64	1410	1569	18
2	-13	80	791	956	9
3	78	53	111	257	16
4	97	-11	1033	1253	20
5	10	19	560	750	2
6	-96	-60	981	1143	3
7	-25	-35	694	887	20
8	-87	-46	1928	2034	2
9	-42	-4	38	194	24
10	12	73	1387	1583	16
11	18	74	1015	1196	23
12	-55	-29	1841	1998	21
13	-71	-2	987	1188	14
14	-21	-86	1133	1205	21
15	-24	-58	1850	2061	11
16	15	-42	527	616	24
17	-15	-39	1623	1846	15
18	94	-36	929	1116	7
19	-59	88	267	307	10
20	-24	-26	1682	1776	0
21	18	57	203	426	7
22	66	53	1796	1973	1
23	-29	13	924	1074	13
24	-88	57	505	694	17
