name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	45	-40	1592	1672	23
2	28	-42	15	111	8
3	-95	5	1082	1112	7
4	-35	69	163	234	17
5	2	-94	456	635	13
6	54	60	448	585	23
7	-11	8	711	924	19
8	-18	83	1825	2010	0
9	56	-6	1753	1813	7
10	-72	69	814	898	1
11	-69	-97	1999	2040	0
12	-47	-17	1500	1680	11
13	77	-12	1050	1212	11
14	88	43	1770	1890	13
15	-77	-16	127	321	5
16	-71	-6	1879	2080	12
17	57	42	512	571	22
18	-9	68	1016	1235	17
19	-76	-44	401	445	6
20	-47	43	1324	1480	0
21	4	-83	117	269	15
22	-92	-2	1891	2113	15
23	35	48	1235	1373	11
24	-89	-24	1762	1858	4
25	53	-86	1466	1521	1
26	-24	-53	804	952	10
27	23	-89	380	527	5
28	70	-94	1628	1670	4
29	90	-74	1919	2058	12
30	-85	-23	78	298	13
31	-33	99	575	625	1
32	-39	79	1744	1925	21
33	60	-5	115	234	16
34	-3	96	817	870	17
35	9	0	441	652	23
36	-31	-51	581	718	15
37	28	-2	395	420	22
38	75	-51	504	648	15
39	18	10	1345	1480	2
