name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-16	-76	1997	2096	8
2	81	-61	423	555	8
3	86	62	1728	1881	0
4	-97	-49	1397	1514	16
5	-75	-40	1423	1646	17
6	-63	-27	577	726	24
7	-83	-70	1056	1081	19
8	-27	-17	1789	1841	2
9	31	62	395	590	5
10	-44	-85	1675	1764	10
11	65	56	1864	2043	14
12	40	31	197	269	2
13	3	-51	116	218	18
14	-61	41	1250	1281	9
15	27	88	941	1124	20
16	42	-95	137	256	6
17	-94	75	1173	1297	20
18	48	20	1038	1254	13
19	-19	-30	1087	1132	14
20	-67	-80	1937	2128	8
21	-45	77	1501	1585	10
22	-55	47	1818	1910	3
23	54	-39	442	473	4
24	-56	83	1425	1457	17
25	-34	-33	564	723	7
26	78	28	756	824	5
27	-97	-40	1028	1072	13
28	36	9	769	969	7
29	3	92	519	590	15
30	15	-75	122	222	7
31	-21	-41	1477	1616	3
32	-19	48	622	777	19
33	59	-9	574	787	22
34	92	81	1247	1348	22
35	36	10	189	238	6
36	-40	-71	60	268	19
37	67	-75	1210	1262	11
38	80	59	1716	1900	5
39	54	45	847	930	22
