name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	33	29	1720	1871	12
2	5	-60	1503	1531	16
3	46	98	1946	2110	3
4	-99	90	29	69	23
5	-97	-11	48	121	8
6	2	39	1771	1924	9
7	14	83	91	195	2
8	13	-90	1676	1701	15
9	-99	72	1990	2076	14
10	31	72	501	660	7
11	63	-1	70	234	17
12	-8	-36	348	516	19
13	65	61	157	372	24
14	86	-23	1417	1490	3
15	7	-95	841	1013	15
16	5	30	686	812	3
17	-13	-79	1893	2048	23
18	-2	44	476	643	19
19	-18	81	1531	1597	0
20	-12	-54	1608	1658	20
21	90	33	988	1021	12
22	-63	-34	1770	1850	14
23	67	-68	1420	1469	8
24	81	-31	1519	1713	5
25	75	86	320	407	16
26	-79	5	1265	1467	14
27	-54	68	1907	2117	15
28	29	47	1590	1645	24
29	-18	84	1718	1886	17
30	79	3	1728	1887	6
31	69	63	747	923	0
32	64	87	111	177	4
33	-70	53	988	1056	15
34	-17	75	108	184	0
35	76	-37	746	862	17
36	96	-48	426	534	16
37	-11	-58	798	909	20
38	69	-68	626	771	18
39	5	43	1204	1260	20
