name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-98	48	92	132	5
2	65	-10	262	477	14
3	-6	84	1096	1209	2
4	15	6	1811	2007	11
5	-25	-36	1894	2092	6
6	75	-24	585	722	16
7	43	85	1647	1741	1
8	-44	41	1951	2023	13
9	-35	93	1622	1748	16
10	0	-36	1314	1486	16
11	0	8	608	714	6
12	12	-4	1663	1773	16
13	-69	-13	1373	1448	6
14	-41	-54	711	865	3
15	-88	53	1702	1797	21
16	-24	-46	1742	1921	8
17	-7	97	8	143	9
18	93	-91	373	597	7
19	50	-93	792	1000	5
20	82	-12	579	650	13
21	-76	28	1993	2126	2
22	-18	15	903	1016	16
23	68	-98	1320	1540	20
24	25	-26	1687	1890	6
