name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	29	-3	1928	2045	15
2	23	-80	1761	1876	14
3	30	20	362	387	2
4	-39	72	169	360	10
5	4	91	1078	1119	1
6	24	-94	1153	1251	18
7	70	-91	359	487	17
8	-98	-98	1266	1371	14
9	-84	62	755	948	19
10	53	-35	302	434	9
11	98	-73	810	902	22
12	3	52	1194	1284	5
13	9	-98	213	259	19
14	-73	19	608	812	21
15	-75	74	716	798	22
16	2	-64	1154	1342	22
17	-48	-38	129	180	15
18	-33	64	1149	1211	6
19	24	11	626	784	1
20	98	70	1291	1493	22
21	-21	60	897	930	18
22	96	-35	1605	1655	8
23	7	55	1694	1890	20
24	72	28	1008	1145	9
25	68	92	1868	1931	16
26	44	4	374	418	12
27	-25	3	416	468	18
28	84	54	150	262	18
29	10	33	1931	2100	14
