name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-11	29	335	382	2
2	-78	58	17	218	19
3	70	-75	1430	1494	0
4	-20	-29	19	214	13
5	80	-30	1838	1905	23
6	26	-70	380	517	19
7	13	67	1070	1124	8
8	-18	92	1668	1748	22
9	74	-24	1959	1998	1
10	-67	-47	1576	1706	6
11	74	-15	1672	1893	16
12	28	-58	1199	1400	16
13	59	70	1885	2077	2
14	3	53	364	510	19
15	-56	42	432	506	10
16	-74	3	1296	1390	13
17	52	49	1027	1062	24
18	-69	-98	1575	1677	11
19	21	80	626	764	1
20	12	90	1519	1592	17
21	80	70	1574	1629	11
22	69	-70	334	535	1
23	0	-71	734	795	18
24	33	-34	1547	1668	22
25	-45	-73	1703	1809	9
26	62	98	569	605	4
27	8	79	175	387	6
28	-69	-41	1314	1379	19
29	14	-89	1583	1668	19
30	-12	-85	1948	2118	4
31	74	55	1101	1269	14
32	88	82	790	886	22
33	-30	70	290	430	1
34	59	24	591	692	3
