name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-80	42	1099	1282	13
2	88	-72	636	664	10
3	-47	24	735	783	15
4	-63	-54	1009	1201	24
5	62	93	1216	1380	8
6	78	14	1281	1399	12
7	-24	-94	440	664	19
8	60	32	1143	1170	20
9	-84	-45	1988	2105	9
10	-23	-35	1126	1224	12
11	-67	37	382	479	13
12	3	-3	1246	1455	5
13	-84	-65	1977	2172	15
14	81	-46	790	817	19
15	46	-11	1228	1295	24
16	-7	-13	1869	1908	19
17	-45	81	937	996	22
18	-21	-57	959	1173	16
19	-26	-40	296	446	5
20	-77	4	1804	1874	13
21	-11	-30	794	828	14
22	2	-67	1796	1971	8
23	-78	30	1279	1382	14
24	69	31	455	580	19
25	-62	-61	649	812	18
26	-2	81	1844	2022	8
27	16	66	911	1024	1
28	-85	-59	1500	1630	8
29	88	89	51	256	11
30	49	-96	1179	1401	4
31	-5	-24	765	843	1
32	89	-68	1163	1360	24
33	-84	-99	1497	1588	16
34	-83	-4	1862	1898	8
35	-22	-100	1755	1921	5
36	48	32	720	842	20
37	-81	-62	1286	1487	15
38	48	-49	1959	2068	3
39	-96	-76	825	898	23
