name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	48	40	1313	1440	9
2	-62	49	1368	1462	0
3	-45	-37	178	353	22
4	96	96	1137	1276	20
5	54	-10	1505	1537	12
6	49	-59	1968	2125	0
7	-59	51	782	957	7
8	-2	-74	1187	1329	11
9	1	-35	156	342	14
10	-9	-16	1654	1844	7
11	-72	54	971	1022	0
12	-66	-28	1670	1814	9
13	-37	-8	633	831	16
14	86	67	229	287	5
15	97	-91	1010	1215	24
16	89	-99	494	606	17
17	-75	-61	1013	1057	5
18	44	-84	1061	1136	0
19	33	82	1399	1468	5
20	-35	-71	1160	1228	23
21	94	-45	1152	1241	21
22	72	70	1415	1589	13
23	57	38	1323	1352	12
24	-48	-20	1725	1766	13
25	-28	21	746	968	13
26	-96	-70	1179	1211	22
27	-97	-48	29	73	17
28	42	-94	1324	1350	3
29	-52	47	427	575	4
30	-19	-64	28	161	15
31	35	-17	1016	1050	24
32	-16	-20	1876	2031	11
33	-66	0	299	397	7
34	55	-78	1519	1594	15
35	-57	13	1289	1409	24
36	83	1	224	304	6
37	-41	-77	1780	1841	13
38	-67	41	1041	1199	11
39	70	43	315	375	24
40	-39	-37	126	205	18
41	-7	2	1844	1935	0
42	68	45	1304	1482	1
43	19	69	1204	1265	22
44	1	81	1410	1515	21
