name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	65	45	1536	1567	3
2	-85	-68	603	822	7
3	79	-56	577	793	6
4	61	-41	755	940	17
5	73	30	1392	1591	19
6	6	-85	1727	1915	20
7	-57	-66	1622	1688	17
8	-90	-43	1344	1514	0
9	55	16	1425	1627	18
10	84	18	140	268	13
11	-58	-69	1866	2072	21
12	52	-23	966	1171	12
13	-54	-79	720	910	1
14	-6	-52	400	506	13
15	4	9	1449	1559	1
16	39	-37	128	257	8
17	-27	57	15	229	6
18	71	-26	455	579	7
19	-91	62	505	538	19
20	-51	-54	1066	1138	22
21	-51	-17	465	673	23
22	48	-95	1183	1210	22
23	83	37	567	725	21
24	-11	48	282	428	9
25	-86	-96	1531	1629	23
26	25	6	1690	1781	19
27	79	-49	702	817	2
28	60	-30	458	560	11
29	12	-86	815	984	12
30	-37	46	1180	1211	11
31	-82	-37	102	244	20
32	64	-40	605	651	17
33	-11	-88	1857	2041	0
34	73	14	1012	1203	7
35	10	84	112	294	21
36	34	87	1719	1885	22
37	36	-74	580	782	22
38	61	84	1040	1234	3
39	-2	-29	12	97	13
40	75	42	692	872	13
41	-42	4	841	957	24
42	96	9	258	444	5
43	-22	-72	860	885	9
44	53	76	844	1067	21
