name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	43	-53	614	713	14
2	84	80	490	601	8
3	45	-74	736	820	24
4	92	-82	456	618	0
5	-41	-39	1204	1370	15
6	-4	-52	1943	2079	15
7	-84	-83	1554	1680	10
8	84	-18	1377	1598	19
9	49	7	1951	2077	1
10	1	13	240	349	17
11	-91	-71	408	529	6
12	23	-31	1914	2002	23
13	-30	-45	1219	1407	20
14	-53	-69	20	228	22
15	18	20	145	274	20
16	71	21	274	370	0
17	62	-25	1729	1802	9
18	-93	59	834	1042	9
19	-54	-29	1482	1593	5
20	-62	18	936	974	11
21	55	55	1832	1875	3
22	-81	86	548	652	10
23	-64	69	1385	1504	4
24	-55	46	455	517	15
25	82	23	1911	1963	24
26	-72	-73	315	509	23
27	-5	-7	466	541	11
28	72	7	1937	2035	2
29	-42	-86	302	503	10
