name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	14	92	1436	1633	15
2	85	52	995	1129	7
3	-65	-72	175	301	0
4	5	-93	148	250	19
5	82	-53	883	914	10
6	53	88	1547	1734	24
7	-35	-100	617	783	6
8	5	-67	1664	1738	8
9	4	-88	747	875	14
10	63	-40	1407	1444	17
11	38	-8	1028	1163	12
12	32	-38	712	766	24
13	64	81	749	937	19
14	-14	36	1824	1926	9
15	-42	63	1162	1337	23
16	18	-29	112	222	24
17	-9	41	1654	1871	21
18	70	-1	1228	1382	16
19	90	-4	1336	1387	13
20	-98	3	593	656	21
21	-17	63	85	133	6
22	36	-21	803	869	11
23	-55	93	412	485	5
24	60	23	591	650	17
25	48	64	603	649	8
26	-74	74	651	712	15
27	-75	63	1390	1559	1
28	46	-65	1739	1769	3
29	-33	5	1645	1742	14
30	60	31	1736	1952	22
31	5	-64	847	1005	21
32	-27	-78	508	586	11
33	69	36	1726	1920	7
34	-33	11	192	261	17
35	47	50	778	875	20
36	-79	-24	1778	1811	17
37	-62	47	72	214	20
38	-24	-69	175	243	18
39	-100	-45	766	974	19
