name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	17	69	1568	1616	1
2	79	48	183	261	2
3	-35	-34	454	656	12
4	-9	-55	1714	1907	13
5	45	-79	763	906	12
6	-66	0	1449	1594	5
7	-86	-12	1632	1741	6
8	26	-79	1392	1538	10
9	-81	34	511	611	21
10	-48	-97	1553	1629	0
11	-13	-4	9	116	16
12	29	19	458	567	23
13	-74	74	732	893	14
14	25	-32	1207	1330	13
15	-48	-21	83	228	22
16	-32	11	365	428	22
17	87	72	692	842	7
18	-6	-63	1763	1834	4
19	-35	-80	428	472	6
20	36	87	1412	1635	18
21	38	-75	1099	1298	8
22	78	-37	1656	1805	2
23	-96	74	628	830	5
24	67	-83	1793	2010	10
