name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-94	91	1516	1644	18
2	-42	-90	240	324	22
3	34	-90	478	614	22
4	-49	-95	1451	1485	15
5	92	32	1383	1454	6
6	-51	-20	1383	1447	18
7	-10	-16	560	716	2
8	-43	-91	1937	2126	18
9	-85	77	616	660	6
10	-49	6	1923	2051	16
11	55	23	1221	1403	12
12	-22	69	1128	1202	17
13	-76	-33	1529	1624	13
14	-58	-18	1358	1538	12
15	71	17	371	497	21
16	-61	-81	1041	1189	4
17	56	-44	1712	1895	14
18	-1	-58	1609	1733	18
19	40	15	1213	1369	14
20	84	81	218	325	13
21	15	-60	35	153	3
22	-95	-52	1894	2030	4
23	26	99	1937	2113	1
24	9	66	102	187	22
25	-77	-5	1468	1638	1
26	65	-25	12	170	4
27	-58	55	1870	1920	19
28	83	-64	1439	1612	12
29	23	91	463	584	7
30	60	44	1355	1563	21
31	-57	-37	1871	2064	8
32	-83	27	1686	1839	7
33	13	69	1919	2052	19
34	-69	-75	60	273	12
35	94	-27	190	412	17
36	8	-59	757	906	9
37	61	60	1502	1617	6
38	87	-41	1535	1620	23
39	-22	-71	1229	1444	6
40	-59	-33	1689	1800	19
41	19	-63	80	266	12
42	-2	77	649	834	9
43	-17	-52	660	864	18
44	-59	-58	421	631	7
