name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	18	56	1053	1253	19
2	-86	71	1524	1555	23
3	26	70	1273	1316	15
4	-24	42	814	1025	12
5	14	10	1995	2081	11
6	82	-88	17	164	1
7	2	58	680	860	16
8	-45	-13	1537	1725	6
9	-78	15	1250	1385	24
10	47	-80	1036	1073	6
11	-70	-79	1490	1547	24
12	-67	17	159	285	21
13	25	-22	432	649	22
14	23	79	577	798	2
15	-33	70	1122	1332	18
16	79	54	636	746	10
17	19	-54	522	682	24
18	94	-8	1952	2106	10
19	-94	-78	1199	1295	17
20	73	-33	1313	1367	6
21	-64	54	722	878	24
22	-63	-94	722	894	16
23	-33	-50	636	744	1
24	-48	-3	1920	1981	14
25	-54	-46	910	1020	13
26	-26	25	996	1044	3
27	38	40	1989	2075	12
28	-15	-61	1493	1584	2
29	-85	77	1089	1174	3
30	92	-4	683	810	13
31	55	-10	27	188	10
32	35	-100	1942	2046	1
33	-8	-16	804	999	3
34	3	81	1363	1573	3
35	61	28	629	793	5
36	-31	8	506	691	11
37	-42	32	1249	1338	9
38	32	-73	1295	1389	16
39	4	-86	1142	1339	3
40	-100	-100	1332	1486	13
41	26	5	1502	1533	9
42	-14	42	958	1147	13
43	83	-54	464	572	13
44	-68	0	372	528	1
