name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	63	87	1910	2124	19
2	76	-50	796	825	10
3	-24	-93	298	415	20
4	28	-47	1600	1815	18
5	-8	-86	844	953	18
6	85	-42	772	996	5
7	84	22	1192	1391	11
8	81	64	593	747	7
9	-27	-9	109	265	1
10	57	10	118	241	5
11	-30	31	901	967	9
12	-78	67	345	419	8
13	-54	69	1135	1344	19
14	-6	30	539	636	19
15	96	90	1667	1810	8
16	-84	99	1359	1413	11
17	85	6	541	739	11
18	89	-75	708	886	4
19	-79	-2	1130	1316	12
20	66	19	1336	1500	16
21	32	31	1861	1959	16
22	-76	83	619	690	18
23	78	25	1054	1248	20
24	44	58	84	279	17
25	-61	28	531	727	17
26	-33	-75	1346	1393	18
27	99	-38	1327	1367	18
28	-72	27	1684	1760	12
29	85	48	1553	1584	21
30	32	23	1091	1252	4
31	-58	-56	1833	2028	7
32	11	38	748	807	0
33	-6	-29	762	814	22
34	-39	-91	1511	1643	2
35	11	83	187	401	9
36	17	-52	281	429	3
37	78	7	1820	2025	0
38	2	-64	1137	1322	1
39	-37	-36	1825	1853	6
40	-50	13	1452	1606	6
41	-96	-88	1774	1861	1
42	21	-74	945	1128	21
43	96	90	1521	1604	7
44	59	53	1122	1322	22
45	-47	-43	1824	2047	21
46	-92	-95	1287	1438	16
47	-78	-56	393	549	15
48	98	-74	490	584	22
49	28	95	1566	1712	12
