name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	51	-41	442	644	10
2	76	-49	319	361	15
3	-88	41	1259	1400	22
4	6	-2	47	109	3
5	-80	62	991	1140	6
6	16	-62	922	1045	8
7	-49	26	1323	1373	22
8	-69	-5	133	240	7
9	-18	1	1156	1182	4
10	44	55	55	116	15
11	74	23	1499	1589	19
12	-61	-54	328	487	22
13	-98	-28	305	518	4
14	97	-78	221	375	8
15	-81	52	1281	1315	20
16	-45	-16	1169	1346	9
17	-85	-84	332	415	20
18	61	49	883	948	2
19	-21	-62	207	370	18
20	-88	-46	1418	1576	11
21	94	-93	884	1012	16
22	72	9	1102	1197	2
23	63	41	106	280	9
24	97	72	1590	1730	23
25	69	-31	1234	1413	13
26	-19	9	293	325	9
27	-47	-87	778	840	13
28	-51	-38	1740	1822	17
29	-70	-94	495	588	5
30	53	95	855	1063	10
31	-80	-86	987	1194	12
32	-56	-30	1274	1350	23
33	50	-7	58	259	14
34	-18	45	312	430	6
35	-21	64	1765	1882	5
36	-99	29	1754	1784	6
37	-1	-36	714	928	2
38	-66	13	1209	1324	21
39	-67	-54	567	596	5
