name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-15	10	136	327	16
2	-60	62	1833	2041	3
3	94	10	1058	1262	17
4	62	47	498	598	6
5	77	42	346	545	15
6	-15	-46	1772	1962	24
7	-78	-47	426	496	1
8	85	-19	1342	1504	12
9	-42	-58	495	572	18
10	48	-46	1393	1595	0
11	93	-95	1874	1902	15
12	-50	5	19	119	7
13	21	32	1595	1766	6
14	13	-40	1536	1749	14
15	88	21	197	375	16
16	2	-7	1867	1973	19
17	12	-92	1381	1590	10
18	69	-92	271	302	15
19	-3	-20	116	293	7
20	10	96	559	606	4
21	-84	17	1128	1153	19
22	-64	-97	1461	1589	8
23	-74	-42	1013	1153	22
24	-69	70	1701	1870	6
