name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-24	59	481	541	24
2	-53	-56	1488	1566	19
3	-93	-59	339	506	8
4	-14	-87	1541	1704	13
5	68	-35	879	1036	20
6	-95	-6	731	811	10
7	56	79	674	832	7
8	-72	-31	1692	1792	6
9	-49	-67	649	678	10
10	-61	4	427	538	17
11	57	-65	756	787	5
12	-39	97	882	909	8
13	91	-66	901	1121	23
14	-64	36	1362	1475	4
15	1	57	296	435	12
16	29	-87	1522	1632	13
17	27	-83	1068	1156	20
18	74	-96	1598	1759	24
19	-83	94	635	824	18
20	-38	-64	1539	1636	16
21	-94	-67	135	168	22
22	-79	20	1334	1503	20
23	39	-17	470	692	21
24	-92	57	339	465	20
25	54	22	801	851	19
26	-68	22	1923	2020	15
27	-82	-96	1638	1739	24
28	-62	33	425	490	19
29	-13	51	429	565	17
30	10	-1	461	508	5
31	-67	-85	1872	1907	17
32	-41	97	1992	2202	7
33	-86	-33	1922	2077	18
34	64	79	8	227	19
