name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-17	50	364	485	12
2	29	39	857	916	3
3	-65	-34	305	345	11
4	69	-10	541	609	9
5	-59	-97	1982	2033	13
6	-59	3	1255	1346	8
7	-33	-34	535	747	4
8	33	74	1339	1447	5
9	28	76	1431	1652	23
10	-97	-98	1975	2159	1
11	86	-97	1336	1538	19
12	20	76	983	1047	11
13	45	78	1173	1262	12
14	-53	-13	1009	1079	9
15	94	-35	125	286	4
16	-30	-79	451	547	24
17	-81	-84	1613	1673	0
18	-55	95	1164	1301	2
19	71	-88	154	239	12
20	-38	-12	1632	1677	8
21	75	-24	1778	1966	2
22	-58	99	308	522	2
23	56	-75	1865	1928	9
24	-15	6	1216	1411	11
25	72	-65	702	853	0
26	-77	98	1417	1514	11
27	-6	-38	1097	1160	14
28	92	-28	1998	2170	9
29	56	59	176	341	22
30	3	10	1020	1184	22
31	89	65	1477	1627	12
32	-73	-70	890	1100	6
33	27	-100	1818	1985	10
34	94	88	1690	1819	24
