name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-26	20	622	807	23
2	86	-63	1490	1517	21
3	-97	42	623	759	18
4	71	91	519	605	17
5	57	-77	203	257	17
6	20	6	35	70	15
7	-67	8	1708	1880	6
8	83	-43	1826	1933	9
9	2	96	954	1052	5
10	-55	-4	1840	2001	9
11	80	-50	1167	1231	7
12	-57	99	1181	1385	6
13	37	-7	1574	1652	7
14	-43	76	288	363	1
15	37	14	1367	1523	22
16	-5	-1	1548	1724	21
17	-88	26	1956	2098	3
18	35	32	619	693	19
19	-25	67	1064	1208	21
20	45	54	1161	1196	5
21	16	-58	1997	2217	17
22	28	-68	1798	1843	1
23	71	-8	375	590	3
24	90	-87	1750	1853	12
25	-32	63	323	493	13
26	-70	30	782	887	11
27	69	64	299	472	24
28	8	-95	1994	2194	17
29	30	38	1570	1743	8
30	99	-76	1621	1766	23
31	-41	-95	1094	1215	9
32	35	41	1713	1797	14
33	55	-25	900	1114	16
34	6	-62	811	882	23
35	52	98	1211	1417	5
36	-11	-92	1614	1713	16
37	33	-20	74	209	5
38	-80	-42	13	173	16
39	29	-93	324	411	19
40	36	3	909	938	5
41	17	-73	529	600	9
42	-91	33	1565	1613	16
43	-46	64	1731	1790	15
44	-54	-86	1416	1529	3
