name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-57	97	1055	1085	14
2	66	53	1332	1404	8
3	-46	-66	696	755	12
4	51	57	1162	1315	24
5	-77	8	158	234	4
6	51	-81	430	509	6
7	-48	40	591	692	5
8	-33	73	1822	1883	7
9	57	1	1403	1462	19
10	-1	48	223	304	11
11	-1	-25	1023	1236	14
12	-87	30	1410	1553	0
13	21	-95	901	1079	21
14	-32	-16	1219	1276	14
15	-64	60	388	455	9
16	71	-5	158	344	23
17	1	-93	1979	2057	4
18	-70	49	531	655	12
19	-1	-11	838	877	3
20	52	67	218	383	8
21	2	-46	476	588	2
22	-82	93	575	651	23
23	-52	-38	668	778	2
24	-75	-89	789	881	0
25	-28	96	1562	1746	18
26	-59	-58	648	746	23
27	62	77	1852	1970	21
28	77	47	1169	1300	15
29	55	95	403	494	18
30	-82	40	574	634	15
31	80	-6	1668	1882	20
32	81	-46	73	123	4
33	-67	-59	1933	2031	22
34	25	-11	1596	1744	12
35	87	84	1533	1755	7
36	-59	-17	1019	1159	20
37	62	39	1288	1482	19
38	24	4	418	607	24
39	62	61	190	406	13
