name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-89	75	1391	1543	23
2	-63	-70	1937	2037	9
3	-57	29	240	450	0
4	-13	-44	642	694	13
5	55	63	66	150	21
6	-67	47	867	923	19
7	-73	-94	863	1049	0
8	41	-70	218	264	3
9	15	73	1336	1530	4
10	-50	-87	91	158	19
11	62	9	1133	1317	20
12	36	-46	865	987	22
13	33	-25	1713	1789	15
14	-16	-20	1275	1420	24
15	-51	65	192	353	1
16	-26	20	806	917	13
17	-37	72	1211	1414	16
18	-25	88	992	1196	15
19	-13	-84	1816	1874	20
20	25	-22	1603	1651	14
21	-88	93	1530	1595	3
22	46	-1	1396	1578	2
23	10	-87	935	1150	11
24	20	70	1251	1302	3
25	77	-48	268	299	23
26	-52	16	495	672	1
27	-31	3	916	1013	6
28	88	68	1616	1757	4
29	-83	-84	1042	1174	2
