name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	84	16	75	118	5
2	-9	-57	1194	1237	3
3	-61	65	485	538	8
4	-95	43	473	536	4
5	-13	83	68	235	7
6	42	39	1512	1646	23
7	56	-43	390	592	12
8	-94	21	1899	2090	12
9	5	-41	1903	2035	20
10	34	-30	509	558	17
11	-17	-27	1390	1436	0
12	12	26	1703	1859	1
13	-80	98	760	955	2
14	93	-1	1233	1344	3
15	-62	15	1940	1997	12
16	-63	-65	683	818	21
17	-62	88	990	1050	22
18	-35	-6	193	408	6
19	66	-20	238	286	10
20	-5	-23	271	303	14
21	7	15	60	238	23
22	-36	93	1047	1212	4
23	-16	25	913	1004	11
24	-93	2	1785	2002	5
25	81	-9	1712	1803	12
26	-97	-50	1429	1633	20
27	-67	45	1670	1711	5
28	34	37	202	282	0
29	-49	-45	683	727	21
30	-4	-80	1474	1527	7
31	-86	-38	1348	1520	9
32	-80	-64	1256	1331	20
33	95	65	683	887	15
34	-4	86	1033	1173	8
