name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	25	43	1692	1804	7
2	-52	-40	1734	1775	21
3	-82	-86	582	700	6
4	92	59	1333	1377	5
5	-90	91	1694	1915	16
6	6	79	1556	1759	17
7	-53	-80	798	849	6
8	89	84	528	563	10
9	68	31	683	857	1
10	-54	-28	1703	1771	8
11	-39	-92	16	121	6
12	-38	-82	1756	1835	9
13	97	73	582	711	10
14	-43	-75	1255	1444	4
15	38	-14	8	155	10
16	-96	-24	888	966	18
17	-64	7	821	885	5
18	-9	-93	1147	1221	1
19	-29	-62	1326	1494	19
20	99	-6	737	788	22
21	-2	-66	1410	1479	21
22	-59	-72	146	364	8
23	21	-15	128	199	20
24	-58	74	29	209	7
25	-9	48	314	527	8
26	-99	-32	1958	2082	9
27	80	67	1293	1357	8
28	-46	18	874	960	1
29	39	-74	1406	1530	17
30	6	69	1527	1641	2
31	88	67	219	318	9
32	-3	-80	1841	1909	18
33	29	5	170	197	18
34	-100	43	1342	1402	24
35	8	-72	291	372	10
36	-96	19	277	407	12
37	10	-32	1854	1893	24
38	-77	54	1416	1507	0
39	-62	-46	276	398	13
