name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-33	-56	143	367	12
2	-40	-4	676	712	6
3	-48	-29	1685	1909	7
4	-36	-51	691	761	0
5	-40	-74	1631	1735	9
6	-39	-29	840	992	3
7	86	-60	1615	1806	20
8	-14	-31	1969	2088	16
9	-23	-86	1467	1691	21
10	-7	40	1241	1304	11
11	-37	67	1105	1134	1
12	94	-94	401	514	6
13	-10	-5	151	344	24
14	-14	-19	1418	1551	18
15	38	-92	511	588	1
16	-20	50	646	830	23
17	-21	-17	1002	1080	9
18	60	30	1816	1929	23
19	87	88	188	228	3
20	77	-99	1388	1495	20
21	-76	43	662	760	19
22	44	-83	1141	1340	1
23	58	-62	1023	1049	5
24	8	86	1916	1958	3
25	12	-20	1528	1619	20
26	-32	67	1712	1892	14
27	36	-90	1323	1511	4
28	31	24	1873	1990	16
29	62	0	1571	1772	1
30	-42	-79	1279	1315	15
31	-94	63	1440	1501	22
32	-76	90	1330	1477	18
33	26	60	563	591	1
34	-92	61	566	681	3
35	-61	-12	1857	1903	10
36	68	-42	1789	1861	23
37	-28	-74	1390	1467	11
38	-19	-92	1958	2087	6
39	41	87	387	466	11
40	37	-74	1602	1692	6
41	-29	-72	1196	1344	6
42	-92	-84	1678	1794	22
43	-32	48	1755	1886	2
44	45	2	1488	1704	7
