name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-86	48	709	862	8
2	17	8	384	502	19
3	-24	-28	1939	2125	1
4	-84	-19	1034	1131	5
5	-7	-79	1374	1564	12
6	52	-81	821	935	13
7	-13	57	1237	1309	21
8	81	-64	1993	2061	16
9	-7	61	1893	2070	18
10	-37	52	1064	1132	7
11	94	-89	1975	2101	12
12	5	1	575	678	3
13	66	-85	1562	1685	22
14	20	78	269	396	14
15	-33	-62	355	464	22
16	-69	-69	721	934	17
17	93	-48	1651	1753	8
18	-27	-15	401	606	2
19	11	35	1326	1388	21
20	-16	-15	1545	1671	6
21	90	-45	851	1063	21
22	60	67	123	287	3
23	54	-33	1373	1467	23
24	88	76	1541	1751	13
25	-1	17	896	1110	15
26	38	-90	1972	2145	0
27	96	71	1619	1802	14
28	21	74	1985	2119	19
29	-29	74	1131	1338	21
30	-45	51	1642	1852	12
31	96	37	923	1132	8
32	11	-70	124	184	5
33	88	62	230	396	8
34	60	-16	1326	1417	8
