name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-46	-40	1554	1662	10
2	-43	-4	1037	1238	0
3	-71	24	1083	1127	22
4	21	-89	25	96	15
5	80	-31	1310	1453	16
6	83	6	511	575	11
7	-53	-50	1550	1738	5
8	83	31	1770	1944	1
9	40	98	593	695	12
10	25	-50	789	964	21
11	73	84	1464	1634	13
12	-17	-13	1507	1592	18
13	-8	41	1615	1825	5
14	80	86	420	552	18
15	-16	70	244	410	13
16	-31	-78	1958	2021	11
17	-31	-41	1019	1228	3
18	15	-94	310	388	17
19	12	22	151	208	5
20	-29	50	1027	1061	1
21	21	64	83	245	11
22	45	-94	491	591	24
23	-82	-62	881	1081	3
24	28	-73	1190	1272	2
25	-17	73	1357	1400	4
26	77	34	618	779	12
27	75	-62	1419	1477	9
28	-40	-48	284	340	15
29	-79	2	1623	1751	4
30	-34	-38	1878	2064	9
31	17	91	1390	1477	19
32	55	54	950	1164	21
33	7	-47	1435	1523	1
34	6	-35	986	1083	1
