name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-35	92	1108	1243	11
2	-38	-79	843	896	5
3	-26	-41	1852	2050	14
4	-84	-7	1953	2033	20
5	-58	-33	11	136	23
6	-83	-4	1664	1853	1
7	-44	4	712	800	3
8	-33	-47	432	501	1
9	-16	55	1030	1145	3
10	-79	-19	154	315	20
11	-30	-72	1666	1782	3
12	-15	46	403	604	11
13	26	94	1184	1390	2
14	-17	-43	1330	1501	9
15	64	-11	651	744	0
16	-100	22	1373	1468	9
17	23	-2	936	1004	9
18	48	33	1234	1290	24
19	19	-45	954	1029	0
20	79	45	1328	1418	5
21	61	-74	1788	1933	22
22	-71	18	948	1157	23
23	0	-78	195	414	6
24	-43	16	35	153	21
