name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	89	30	1111	1178	22
2	-66	-96	1658	1804	7
3	-89	36	308	369	20
4	-81	-98	869	928	19
5	14	80	1415	1487	4
6	55	-47	64	220	4
7	97	6	1801	1977	6
8	8	-89	1751	1911	1
9	-65	61	566	620	23
10	43	-51	1178	1260	23
11	1	-47	1841	1900	8
12	33	-98	1587	1681	23
13	63	68	65	277	22
14	-52	23	1442	1517	2
15	-42	-31	1196	1352	8
16	-95	-75	679	792	10
17	45	-8	1253	1322	16
18	95	-44	1558	1714	13
19	31	-73	894	987	14
20	-84	73	708	878	12
21	-57	54	1815	1961	17
22	25	80	784	971	19
23	92	38	1662	1860	6
24	85	-86	1073	1113	1
25	-60	-32	1685	1908	1
26	58	7	1567	1649	0
27	-45	15	1753	1962	15
28	8	-23	1909	1999	1
29	30	-44	469	516	0
30	-31	-7	1694	1724	14
31	5	-94	273	438	1
32	-25	-61	730	858	24
33	-39	-98	49	266	19
34	40	-22	340	374	7
