name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-9	57	1462	1564	13
2	-7	53	554	754	14
3	-14	44	988	1035	10
4	77	-28	192	368	8
5	-26	-99	255	380	3
6	9	45	1318	1348	9
7	76	17	648	804	2
8	26	-38	975	1097	6
9	-94	64	943	1074	0
10	11	63	1804	1912	3
11	45	-35	1318	1497	23
12	-80	-74	1415	1602	4
13	-58	-87	1547	1625	19
14	-22	23	1493	1615	1
15	47	-54	1706	1921	19
16	-94	-17	1782	1897	6
17	-99	64	231	280	5
18	42	-82	1822	1874	20
19	55	-49	937	1043	19
20	-72	72	1272	1496	13
21	91	5	642	712	11
22	-26	-38	23	238	9
23	31	-84	44	178	14
24	-99	-56	667	718	21
25	10	-71	547	703	7
26	19	90	1811	1846	19
27	-29	-60	1314	1381	18
28	99	-98	1983	2139	3
29	29	5	1904	2039	10
30	60	90	376	451	0
31	2	31	1570	1681	19
32	-38	32	1922	1985	20
33	19	34	1763	1810	1
34	52	-31	1866	1998	9
