name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-51	-32	382	551	10
2	96	-74	139	285	16
3	-44	91	1925	2043	22
4	-78	69	1376	1582	24
5	-83	-85	722	796	8
6	-10	-80	1957	2138	11
7	98	-63	1189	1234	3
8	-47	-62	1984	2131	20
9	14	54	961	1037	24
10	-54	32	1947	2106	4
11	72	50	1009	1075	7
12	39	46	1520	1558	18
13	59	-71	1266	1420	10
14	-76	18	769	928	16
15	50	-17	46	218	24
16	-14	-73	1126	1233	5
17	83	-71	1198	1295	7
18	-72	29	1500	1605	13
19	38	39	1734	1872	23
20	-3	2	664	888	3
21	55	-51	1151	1373	10
22	3	93	979	1051	13
23	-4	17	340	531	18
24	88	86	832	1045	8
25	59	21	1634	1845	22
26	-72	-69	1387	1587	9
27	30	31	76	182	22
28	0	-50	295	330	1
29	67	-74	388	592	13
30	-96	-18	894	1005	12
31	-69	71	1092	1303	19
32	53	59	700	920	10
33	21	-48	660	740	16
34	-79	5	1290	1361	4
35	59	54	1738	1947	6
36	53	48	1064	1219	16
37	54	-91	942	1126	16
38	0	-25	861	970	5
39	-34	33	129	209	11
40	70	-21	762	874	10
41	73	-2	1022	1172	23
42	70	-25	708	789	4
43	-77	-70	671	832	23
44	95	-56	1959	1985	19
45	-31	-42	161	241	3
46	29	-34	543	665	15
47	-73	82	1946	2020	1
48	83	66	1131	1157	5
49	-68	48	964	1084	15
