name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	-83	53	814	867	7
2	-4	37	1527	1598	19
3	-100	90	553	612	21
4	-52	93	1023	1180	20
5	39	-66	568	706	20
6	-40	-53	1159	1204	17
7	3	-54	296	340	20
8	52	24	1974	2006	15
9	26	-15	883	1074	13
10	94	6	5	35	7
11	54	-96	1100	1324	23
12	73	-74	1276	1477	0
13	-26	87	139	205	15
14	-36	-37	461	501	10
15	58	-53	845	1038	22
16	-16	70	198	281	18
17	41	-60	642	744	15
18	-99	77	1185	1265	11
19	-22	-54	1256	1444	15
20	64	-71	855	904	22
21	-68	84	1858	1970	5
22	-11	21	1257	1480	5
23	-25	68	1722	1765	1
24	70	36	1431	1579	21
25	-19	-21	1171	1380	23
26	93	-47	1609	1634	3
27	95	71	707	760	22
28	29	-2	863	1000	21
29	44	47	861	1054	6
