name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	0	-65	1791	1844	3
2	73	-71	810	954	17
3	-74	-52	222	390	13
4	63	66	1487	1568	6
5	82	48	28	234	24
6	-13	-43	1911	1983	15
7	8	-72	500	576	6
8	-5	-48	280	317	22
9	-2	-10	1335	1481	7
10	-64	33	480	567	18
11	-94	90	1127	1249	1
12	-69	-38	1982	2107	6
13	-48	-20	1900	2021	15
14	57	-56	1667	1760	9
15	90	-66	211	418	9
16	94	74	1638	1766	24
17	34	-2	1233	1322	19
18	-22	84	793	839	11
19	-23	54	1910	1982	4
20	20	46	716	907	17
21	10	-92	1516	1718	2
22	31	-36	1733	1892	13
23	73	91	1301	1479	13
24	79	-51	1046	1078	19
