name	xcoord	ycoord	start	end	service
0	0	0	0	2000	0
1	40	24	1497	1690	3
2	-69	-10	1694	1878	14
3	49	-46	1644	1708	3
4	62	-74	205	343	18
5	-78	-66	187	219	22
6	-97	57	577	777	8
7	-54	-9	827	981	16
8	-16	-57	1564	1670	8
9	-37	-48	671	784	5
10	57	25	1794	1854	22
11	-91	-37	26	218	18
12	16	-71	820	947	0
13	68	98	1535	1675	4
14	40	82	606	636	22
15	-89	-24	1004	1150	7
16	74	-1	745	839	17
17	53	-71	737	892	9
18	-72	7	1717	1790	19
19	53	-29	1590	1764	0
20	-9	33	53	209	2
21	-7	28	598	732	20
22	13	94	1699	1781	11
23	-30	-40	986	1117	10
24	-89	-4	1366	1394	14
25	24	-100	427	651	22
26	51	-58	764	980	9
27	-32	-11	237	318	17
28	-55	56	293	515	23
29	-96	71	1899	2056	5
